"G","frac"
10384,0.0269837318699882
11043,0.0285198354052299
11045,0.0282230913304446
11821,0.0279171774500018
12551,0.0273840608294038
12552,0.0284339064760341
13868,0.0281304793516782
13869,0.0283654823249366
13871,0.0281304793516782
14581,0.0272191262711942
14582,0.274649720609581
14583,0.0816573788135825
14585,0.0272191262711942
14587,0.0281129299801978
14591,0.0281129299801978
14595,0.0281129299801978
14599,0.0283362334137547
14600,0.0283362334137547
14719,0.0276661451754759
14950,0.083668701229845
15297,0.0272456820369058
15298,0.0823757946939281
15299,0.165389752610188
15300,0.0549171964626188
15301,0.0559812524105671
15312,0.0274585982313094
15313,0.0276714563398395
15314,0.0278842559122386
15316,0.0276714563398395
15318,0.0825886528024583
15319,0.081949962305121
15320,0.0544913640738116
15439,0.0283096776480449
15441,0.055768452838168
15442,0.0559812524105671
15996,0.02767630069814
16004,0.02767630069814
16016,0.0278794115539379
16021,0.027473131295951
16022,0.0551494319940909
16028,0.02767630069814
16029,0.0272699037771297
16032,0.0549462044752697
16038,0.05535260139628
16066,0.0282854559078246
16157,0.0280824634336835
16158,0.0278794115539379
16232,0.027473131295951
16698,0.0282632701982463
16715,0.027292089486707
16719,0.0274864427404574
16735,0.027292089486707
16741,0.027292089486707
16744,0.0276807378494418
16746,0.0280691519891583
16749,0.027292089486707
16753,0.027874974402656
16781,0.0276807378494418
16783,0.0274864427404574
16784,0.054584178973414
16873,0.0282632701982463
16875,0.027292089486707
17121,0.0557497129387037
17133,0.027874974402656
17471,0.0280569125580901
17473,0.0273124885097434
17477,0.0559278071474934
17500,0.0276848176626799
17503,0.0559278071474934
17505,0.0280569125580901
17509,0.0282428711752101
17595,0.0282428711752101
17672,0.0273124885097434
18195,0.0273313110790943
18218,0.0562696676064162
18219,0.0841368570016597
18220,0.0836013902026873
18221,0.0278671300675624
18223,0.0282240486058629
18224,0.0560912380011065
18225,0.0280456190005532
18226,0.0280456190005532
18228,0.0275099757290759
18313,0.0278671300675624
18567,0.0555553596849572
18571,0.0282240486058629
18879,0.0157898764122862
18906,0.0548691662095438
18938,0.0273487356957339
18939,0.0276920671152254
19030,0.0278636451368619
19036,0.0282066239892125
19285,0.0282066239892125
19287,0.0280351642158232
19288,0.0276920671152254
19289,0.0278636451368619
19291,0.0275204305138099
19292,0.0280351642158232
19293,0.0282066239892125
19294,0.0276920671152254
19301,0.0278636451368619
19303,0.0282066239892125
19575,0.0281904447866462
19592,0.0275301380490473
19598,0.00529730668224926
19619,0.0275301380490473
19671,0.0280254566805816
19680,0.0281904447866462
19749,0.0276953029625817
19751,0.0552253241878099
19752,0.0278604092895081
19754,0.0273649148983017
19756,0.055225441011629
19757,0.0557208185790162
19758,0.0278604092895081
19993,0.0278604092895081
20008,0.0276953029625817
20011,0.0280254566805816
20012,0.0560509133611631
20013,0.0278604092895081
20015,0.0275301380490473
20019,0.0281904447866462
20020,0.167492432298334
20021,0.138641326809904
20022,0.0275301380490473
20078,0.0280254566805816
20291,0.0275391770135189
20299,0.0281753798670947
20302,0.0275391770135189
20304,0.0280164177161098
20305,0.0273799798178456
20306,0.0278573962992363
20307,0.0278573962992363
20319,0.0122758144920746
20325,0.0273799798178456
20475,0.0278573962992363
20476,0.083412872833475
20708,0.0273799798178456
20709,0.0276983159528614
20710,0.0273799798178456
20715,0.0280164177161098
20716,0.0276983159528614
20725,0.0276983159528614
20727,0.0276983159528614
20728,0.0273799798178456
20729,0.0561917975832045
20732,0.0278573962992363
20733,0.0275391770135189
20734,0.0273799798178456
20736,0.0281753798670947
20738,0.0275391770135189
20739,0.0280164177161098
20744,0.0273799798178456
20745,0.0278573962992363
20793,0.0280164177161098
20796,0.0281753798670947
20798,0.111906471986287
